"city","state","date","association","church","organized","members","minister","ordained","settled","race","citation","lon","lat","jlat","jlon","url"
"Calais","ME","1853-06","Washington Conference","",1825,150,"Samuel H. Keeler","","1839","","The Year-book of the American Congregational Union for the Year 1854 (p. 83)",-67.2786038,45.1889633,45.1889633,-67.2786038,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Cherryfield","ME","1853-06","Washington Conference","",1833,23,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 83)",-67.9258366,44.6072991,44.6072991,-67.9258366,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Cooper","ME","1853-06","Washington Conference","",NA,18,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 83)",-67.4397144,44.959521,44.959521,-67.4397144,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Dennysville","ME","1853-06","Washington Conference","",1805,98,"J. H. Stearns","","1844","","The Year-book of the American Congregational Union for the Year 1854 (p. 83)",-67.228611,44.903611,44.903611,-67.228611,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Eastport","ME","1853-06","Washington Conference","",1819,105,"W. T. Dickson","","1853","","The Year-book of the American Congregational Union for the Year 1854 (p. 83)",-66.9899785,44.9061906,44.9061906,-66.9899785,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Jonesboro","ME","1853-06","Washington Conference","",NA,15,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 83)",-67.5724938,44.6625773,44.6625773,-67.5724938,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Lubec","ME","1853-06","Washington Conference","",1818,10,"G. W. Finney","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 83)",-66.9835907,44.8585863,44.8585863,-66.9835907,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Machias","ME","1853-06","Washington Conference","[First Congregational Church]",1782,152,"S. L. Bowler","","1853","","The Year-book of the American Congregational Union for the Year 1854 (p. 83)",-67.461376,44.7150789,44.713906356724,-67.4488383395171,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Machias","ME","1853-06","Washington Conference","East",1826,115,"John C. Adams","","1849","","The Year-book of the American Congregational Union for the Year 1854 (p. 83)",-67.461376,44.7150789,44.7156950149239,-67.4731955139976,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Machias","ME","1853-06","Washington Conference","Port",1830,52,"G. Bachellor","","1850","","The Year-book of the American Congregational Union for the Year 1854 (p. 83)",-67.461376,44.7150789,44.7239957954381,-67.4671209165133,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Northfield","ME","1853-06","Washington Conference","",NA,56,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 83)",-67.5705504,44.8289649,44.8289649,-67.5705504,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Pembroke","ME","1853-06","Washington Conference","",NA,13,"S. Wentworth","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 83)",-67.1619293,44.9536891,44.9536891,-67.1619293,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Perry","ME","1853-06","Washington Conference","",1822,29,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 83)",-67.0748806,44.974757,44.974757,-67.0748806,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Robbinston","ME","1853-06","Washington Conference","",1811,91,"D. B. Sewall","","1841","","The Year-book of the American Congregational Union for the Year 1854 (p. 83)",-67.1094283,45.0781324,45.0781324,-67.1094283,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Whiting","ME","1853-06","Washington Conference","",NA,11,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 83)",-67.1755412,44.7909119,44.7909119,-67.1755412,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Whitneyville","ME","1853-06","Washington Conference","",NA,28,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 83)",-67.5233265,44.7220213,44.7220213,-67.5233265,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"St. Stevens","ME","1853-06","Washington Conference","",1852,86,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 83)",-70.196119,44.0896599,44.0896599,-70.196119,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Acton","ME","1853-06","York Conference","",1781,65,"William Pierce","","1851","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.909722,43.534167,43.534167,-70.909722,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Alfred","ME","1853-06","York Conference","",1799,106,"John Orr","","1846","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.7161687,43.4764994,43.4764994,-70.7161687,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Biddeford","ME","1853-06","York Conference","First Church",1730,82,"Levi Loring","","1851","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.4533844,43.4925843,43.4935284669496,-70.4427240291109,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Biddeford","ME","1853-06","York Conference","Second Church",1805,157,"Samuel M. Gould","","1853","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.4533844,43.4925843,43.4950761135669,-70.4551390530567,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Buxton","ME","1853-06","York Conference","[First Congregational Church]",1763,80,"Joseph Barlett","","1847","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.5189422,43.6378583,43.641882865722,-70.525828281769,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Buxton","ME","1853-06","York Conference","North Congregational Church",1663,73,"G. W. Cressey","","1852","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.5189422,43.6378583,43.6289478229853,-70.5142118255353,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Cornish","ME","1853-06","York Conference","",NA,12,"","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.8011731,43.8047977,43.8047977,-70.8011731,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Elliot","ME","1853-06","York Conference","",1721,69,"Jeffries Hall","","1852","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.8000544,43.1531427,43.1531427,-70.8000544,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Kennebunk","ME","1853-06","York Conference","Union Church",1826,82,"William H. Wilcox","","1852","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.54399,43.3845306,43.3845306,-70.54399,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Kennbunkport","ME","1853-06","York Conference","First Church",1730,69,"John Baker","","1849","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.4767274,43.3617327,43.3617327,-70.4767274,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Kennebunkport","ME","1853-06","York Conference","South",1838,76,"George A. Bowman","","1848","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.4767274,43.3617327,43.3699467301579,-70.4756592279459,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Kennebunkport","ME","1853-06","York Conference","Union Church",NA,4,"","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.4767274,43.3617327,43.3590149684734,-70.4801931823477,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Kittery","ME","1853-06","York Conference","",1714,44,"Albert W. Fisk","","1850","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.736137,43.0881256,43.0881256,-70.736137,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Lebanon","ME","1853-06","York Conference","",1765,75,"Joseph Loring","","1836","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.850833,43.394444,43.394444,-70.850833,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Limerick","ME","1853-06","York Conference","",1795,86,"Charles Freeman","","1820","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.7936719,43.6884112,43.6884112,-70.7936719,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Limington","ME","1853-06","York Conference","",1789,94,"John H. Garman","","1847","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.7108924,43.7317442,43.7317442,-70.7108924,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Lyman","ME","1853-06","York Conference","",1801,127,"Amasa Loring","","1849","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.6379682,43.5050963,43.5050963,-70.6379682,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Newfield","ME","1853-06","York Conference","",1801,68,"Edmund Burt","","1849","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.8470062,43.6481341,43.6481341,-70.8470062,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Parsonsfield","ME","1853-06","York Conference","",1795,26,"","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.9286755,43.7270214,43.7270214,-70.9286755,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Saco","ME","1853-06","York Conference","",1762,216,"","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.4428286,43.5009176,43.5009176,-70.4428286,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Sanford","ME","1853-06","York Conference","",1786,50,"","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.7742804,43.4391627,43.4391627,-70.7742804,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Shapleigh","ME","1853-06","York Conference","",1823,16,"","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.8481164,43.5406359,43.5406359,-70.8481164,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"South Berwick","ME","1853-06","York Conference","",1701,146,"Benjamin R. Allen","","1842","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.8095018,43.2345292,43.2345292,-70.8095018,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Wells","ME","1853-06","York Conference","First Church",1701,164,"James R. Cushing","","1844","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.5805209,43.3222329,43.3291931824102,-70.5762048599171,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Wells","ME","1853-06","York Conference","Second Church",1831,59,"Jacob C. Goss","","1851","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.5805209,43.3222329,43.3157401877548,-70.5883113332095,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"York","ME","1853-06","York Conference","First Church",1673,86,"John Smith","","1850","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.6482581,43.1617483,43.1697090700301,-70.6564701480141,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"York","ME","1853-06","York Conference","Second Church",1732,29,"Morris Holman","","1847","","The Year-book of the American Congregational Union for the Year 1854 (pp. 83-84)",-70.6482581,43.1617483,43.1624495924654,-70.6457534923713,"https://archive.org/stream/americancongrega04amer#page/83/mode/1up"
"Meredith Bridge","NH","1853-06","Belknap Association","",NA,173,"John K. Young","","1831","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.2210586,43.384781,43.384781,-71.2210586,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Gilmanton","NH","1853-06","Belknap Association","Iron Works",NA,114,"Rufus Childs","","1844","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.4138418,43.4248816,43.4329255955505,-71.401421925818,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Gilmanton","NH","1853-06","Belknap Association","East",NA,38,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.4138418,43.4248816,43.4250862867101,-71.4061453504945,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Gilmanton","NH","1853-06","Belknap Association","Centre",NA,145,"R. M. Sargent","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.4138418,43.4248816,43.4243283775117,-71.4057022422601,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Sanbornton","NH","1853-06","Belknap Association","",NA,147,"James Boutwell","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.5822837,43.4897584,43.4897584,-71.5822837,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Centre Harbor","NH","1853-06","Belknap Association","",NA,44,"Almon Benson","","1840","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.463611,43.708056,43.708056,-71.463611,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Meredith Village","NH","1853-06","Belknap Association","",NA,78,"Giles Leach","","1842","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.500317,43.6575331,43.6575331,-71.500317,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Loudon","NH","1853-06","Belknap Association","First Church",NA,80,"Edward F. Abbott","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.4672651,43.2856337,43.2905509285858,-71.4582104037581,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Alton","NH","1853-06","Belknap Association","",NA,6,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.219722,43.454167,43.454167,-71.219722,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Barnstead","NH","1853-06","Belknap Association","",NA,234,"Enos George","","1804","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.2782381,43.3389194,43.3389194,-71.2782381,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Plymouth","NH","1853-06","Belknap Association","",NA,165,"William R. Jewett","","1845","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.6881528,43.7570196,43.7570196,-71.6881528,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Campton","NH","1853-06","Belknap Association","",NA,80,"Charles Shedd","","1842","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.636667,43.864722,43.864722,-71.636667,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Thornton","NH","1853-06","Belknap Association","",NA,22,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.6759125,43.8928475,43.8928475,-71.6759125,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Bridgewater","NH","1853-06","Belknap Association","",NA,NA,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.7364678,43.6384067,43.6384067,-71.7364678,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Hebron","NH","1853-06","Belknap Association","",NA,27,"Liba Conant","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.8056359,43.6939614,43.6939614,-71.8056359,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Groton","NH","1853-06","Belknap Association","",NA,32,"Liba Conant","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.8367572,43.7018051,43.7018051,-71.8367572,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Bethlehem","NH","1853-06","Caledonia Association","",NA,34,"Daniel McClenning","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.6875364,44.2803843,44.2803843,-71.6875364,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Franconia","NH","1853-06","Caledonia Association","",NA,12,"Daniel McClenning","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.7479075,44.2271729,44.2271729,-71.7479075,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Littleton","NH","1853-06","Caledonia Association","",NA,130,"E. Irvin Carpenter","","1842","","The Year-book of the American Congregational Union for the Year 1854 (p. 94)",-71.7701237,44.3061628,44.3061628,-71.7701237,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Chichester","NH","1853-06","Deerfield Association","",NA,119,"S. M. Blanchard","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 94-95)",-71.3997909,43.2492477,43.2492477,-71.3997909,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Deerfield","NH","1853-06","Deerfield Association","",NA,112,"William A. Forbes","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 94-95)",-71.2164524,43.146194,43.146194,-71.2164524,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Epsom","NH","1853-06","Deerfield Association","",NA,101,"","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 94-95)",-71.3445677,43.2249396,43.2249396,-71.3445677,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Northwood","NH","1853-06","Deerfield Association","",NA,86,"Otis Holmes","","1849","","The Year-book of the American Congregational Union for the Year 1854 (pp. 94-95)",-71.1508969,43.194249,43.194249,-71.1508969,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Nottingham","NH","1853-06","Deerfield Association","",NA,NA,"","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 94-95)",-71.099784,43.1145285,43.1145285,-71.099784,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Pittsfield","NH","1853-06","Deerfield Association","",NA,161,"Moses H. Wells","","1845","","The Year-book of the American Congregational Union for the Year 1854 (pp. 94-95)",-71.3242331,43.3058983,43.3058983,-71.3242331,"https://archive.org/stream/americancongrega04amer#page/94/mode/1up"
"Atkinson","NH","1853-06","Derby Association","",NA,92,"Jesse Page","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.1470037,42.8384221,42.8384221,-71.1470037,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Auburn","NH","1853-06","Derby Association","",NA,51,"James Holmes","","1849","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.348398,43.0045288,43.0045288,-71.348398,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Candia","NH","1853-06","Derby Association","",NA,284,"William Murdock","","1841","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.2888619,43.0612461,43.0612461,-71.2888619,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Chester","NH","1853-06","Derby Association","",NA,186,"Lauren Armsby","","1846","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.2572846,42.9567525,42.9567525,-71.2572846,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Derry","NH","1853-06","Derby Association","First Church",NA,240,"Joshua W. Wellman","","1851","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.3273346,42.8806437,42.8896663438892,-71.3328547358116,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Derry","NH","1853-06","Derby Association","First Congregational Church",NA,136,"E. G. Parsons","","1851","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.3273346,42.8806437,42.8882421425308,-71.335313248074,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Hampstead","NH","1853-06","Derby Association","",NA,89,"John M. C. Bartley","","1846","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.1809803,42.8744882,42.8744882,-71.1809803,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Pelham","NH","1853-06","Derby Association","",NA,86,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.3245067,42.7345339,42.7345339,-71.3245067,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Plaistow","NH","1853-06","Derby Association","",NA,64,"Charles Tenney","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.0947805,42.8364781,42.8364781,-71.0947805,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Salem","NH","1853-06","Derby Association","",NA,53,"William Page","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.2008912,42.7885553,42.7885553,-71.2008912,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Windham","NH","1853-06","Derby Association","Presbyterian Church",NA,150,"Loren Thayer","","1845","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.304229,42.8006441,42.8006441,-71.304229,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Conway","NH","1853-06","Harmony Association","",NA,74,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.1203479,43.9791831,43.9791831,-71.1203479,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Effingham","NH","1853-06","Harmony Association","",NA,39,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-70.996455,43.7611873,43.7611873,-70.996455,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Moultonborough","NH","1853-06","Harmony Association","",NA,77,"Joshua Dodge; Jonathan B. Cook","","1828; 1850","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.3965306,43.7551145,43.7551145,-71.3965306,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Ossipee","NH","1853-06","Harmony Association","",NA,72,"Horace Wood","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.1166556,43.6853516,43.6853516,-71.1166556,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Sandwich","NH","1853-06","Harmony Association","Corner",NA,55,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.4104696,43.7908703,43.789256833105,-71.4138137011128,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Sandwich","NH","1853-06","Harmony Association","North Church",NA,19,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.4104696,43.7908703,43.7932538936394,-71.4099117566853,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Tamworth","NH","1853-06","Harmony Association","",NA,170,"J. H. Merrill","","1853","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.2631263,43.8597958,43.8597958,-71.2631263,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Wakefield","NH","1853-06","Harmony Association","",NA,40,"Nathaniel Barker","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.0288751,43.5536938,43.5536938,-71.0288751,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Wolfborough","NH","1853-06","Harmony Association","",NA,61,"Nalson Barbour","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.2094799,43.5852069,43.5852069,-71.2094799,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"North Wolfborough","NH","1853-06","Harmony Association","",NA,57,"Stephen Merrill","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.2094799,43.5852069,43.5852069,-71.2094799,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Tuftonborough","NH","1853-06","Harmony Association","",NA,25,"Stephen Merrill","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.2221024,43.6963,43.6963,-71.2221024,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Farmington","NH","1853-06","Harmony Association","",NA,24,"Daniel T. Tappan","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 95)",-71.065062,43.3897609,43.3897609,-71.065062,"https://archive.org/stream/americancongrega04amer#page/95/mode/1up"
"Amherst","NH","1853-06","Hollis Association","",NA,305,"J. Gardner Davir","","1844","","The Year-book of the American Congregational Union for the Year 1854 (p. 96)",-71.6253487,42.8614748,42.8614748,-71.6253487,"https://archive.org/stream/americancongrega04amer#page/96/mode/1up"
"Brookline","NH","1853-06","Hollis Association","",NA,74,"Daniel Goodwin","","1839","","The Year-book of the American Congregational Union for the Year 1854 (p. 96)",-71.6581267,42.7348102,42.7348102,-71.6581267,"https://archive.org/stream/americancongrega04amer#page/96/mode/1up"
"Hollis","NH","1853-06","Hollis Association","",NA,171,"P. B. Day","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 96)",-71.5895344,42.7425166,42.7425166,-71.5895344,"https://archive.org/stream/americancongrega04amer#page/96/mode/1up"
"Mason","NH","1853-06","Hollis Association","",NA,101,"Ebenezer Hill; J. L. Ames","","1790; 1850","","The Year-book of the American Congregational Union for the Year 1854 (p. 96)",-71.7688868,42.7431782,42.7354550673674,-71.7624342136798,"https://archive.org/stream/americancongrega04amer#page/96/mode/1up"
"Mason","NH","1853-06","Hollis Association","Village",NA,128,"E. M. Kellogg","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 96)",-71.7688868,42.7431782,42.7394873158752,-71.7679072527339,"https://archive.org/stream/americancongrega04amer#page/96/mode/1up"
"Merrimack ","NH","1853-06","Hollis Association","South",NA,34,"Daniel Sawyer","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 96)",-71.4948322,42.8678693,42.8678693,-71.4948322,"https://archive.org/stream/americancongrega04amer#page/96/mode/1up"
"Milford","NH","1853-06","Hollis Association","",NA,305,"E. N. Hidden","","1849","","The Year-book of the American Congregational Union for the Year 1854 (p. 96)",-71.6489836,42.8353619,42.8353619,-71.6489836,"https://archive.org/stream/americancongrega04amer#page/96/mode/1up"
"Nashua","NH","1853-06","Hollis Association","First Church",NA,440,"Daniel March","","1849","","The Year-book of the American Congregational Union for the Year 1854 (p. 96)",-71.467566,42.7653662,42.7611979583658,-71.4734517888556,"https://archive.org/stream/americancongrega04amer#page/96/mode/1up"
"Nashua","NH","1853-06","Hollis Association","Olive Street",NA,425,"Austin Richards","","1836","","The Year-book of the American Congregational Union for the Year 1854 (p. 96)",-71.467566,42.7653662,42.7734917605474,-71.4776654351031,"https://archive.org/stream/americancongrega04amer#page/96/mode/1up"
"Nashua","NH","1853-06","Hollis Association","Pearl Street",NA,189,"Ezra E. Adams","","1853","","The Year-book of the American Congregational Union for the Year 1854 (p. 96)",-71.467566,42.7653662,42.7705874108372,-71.4675643196289,"https://archive.org/stream/americancongrega04amer#page/96/mode/1up"
"New Ipswich","NH","1853-06","Hollis Association","[First Congregational Church]",NA,262,"Samuel Lee","","1836","","The Year-book of the American Congregational Union for the Year 1854 (p. 96)",-71.854167,42.748056,42.7456112971237,-71.8491702643754,"https://archive.org/stream/americancongrega04amer#page/96/mode/1up"
"New Ipswich","NH","1853-06","Hollis Association","Second Church",NA,60,"J. Ballard","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 96)",-71.854167,42.748056,42.7442103921894,-71.8423028825792,"https://archive.org/stream/americancongrega04amer#page/96/mode/1up"
"Rindge","NH","1853-06","Hollis Association","",NA,255,"Amos W. Burnham","","1821","","The Year-book of the American Congregational Union for the Year 1854 (p. 96)",-72.0098021,42.7511964,42.7511964,-72.0098021,"https://archive.org/stream/americancongrega04amer#page/96/mode/1up"
"Mount Vernon","NH","1853-06","Hollis Association","",NA,167,"Charles D. Herbert","","1850","","The Year-book of the American Congregational Union for the Year 1854 (p. 96)",-71.6742393,42.8945294,42.8945294,-71.6742393,"https://archive.org/stream/americancongrega04amer#page/96/mode/1up"
"Temple","NH","1853-06","Hollis Association","",NA,90,"Walter Follet","","1844","","The Year-book of the American Congregational Union for the Year 1854 (p. 96)",-71.8513418,42.8188308,42.8188308,-71.8513418,"https://archive.org/stream/americancongrega04amer#page/96/mode/1up"
"Wilton","NH","1853-06","Hollis Association","",NA,NA,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 96)",-71.7351077,42.8433943,42.8433943,-71.7351077,"https://archive.org/stream/americancongrega04amer#page/96/mode/1up"
"Andover","NH","1853-06","Hopkinton Association","",NA,20,"Nathan Howard","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 96-97)",-71.8234138,43.4370198,43.4370198,-71.8234138,"https://archive.org/stream/americancongrega04amer#page/96/mode/1up"
